Name,Phone Number,Image Links 1,Image Links 2,Image Links 3,Google maps ID,Latitude,Longitude,Adress,Website,,,,,,,,,,,,,,,,,,
Budliger Treuhand AG,+41 44 289 45 45,https://lh5.googleusercontent.com/p/AF1QipPRo3GL9YSdgFmfwv_zZBOU7xzW9M71SmO9MAzx=w408-h240-k-no-pi-10-ya63.125004-ro-0-fo100,,,ChIJcfDwS-UJkEcROamHEpEkkxY,@47.3575995,8.5241326,"Waffenplatzstrasse 64, 8002 Zürich, Switzerland",https://www.budliger.ch/,,,,,,,,,,,,,,,,,,
Caminada Treuhand AG Zürich,+41 44 386 99 00,https://lh3.googleusercontent.com/p/AF1QipNHkFOb0SDp-5STKauadH2LrzeS5USz3z8wEuC9=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipPV01WQt6eavr8I1fD7dPYifrnkN1-iY3uKCyyx=s680-w680-h510,,ChIJZ-TR-UynmkcR4UDKV1A-PPA,@47.3582434,8.5555015,"Riesbachstrasse 61, 8008 Zürich, Switzerland",https://www.caminada.ch/,,,,,,,,,,,,,,,,,,
CC Finanz und Treuhand AG / Firmengründung Buchhaltung,+41 44 515 33 10,https://lh3.googleusercontent.com/p/AF1QipPrsVlrl_GvABTiyiwHFc96mS0rBloo0yUuHFFO=s1360-w1360-h1020,https://lh3.googleusercontent.com/p/AF1QipPo_hNWErkyeiWUchBonEaXe1ANHa2SZeyzW6Fu=s1360-w1360-h1020,https://lh3.googleusercontent.com/p/AF1QipNMPHfkbq3UXabqbtZDP8O8gAG-OmFSY51rwhVK=s1360-w1360-h1020,ChIJ2aYyUgAKkEcRpFgwJ8HPf-4,@47.3688847,8.5384107,"Talstrasse 20, 8001 Zürich, Switzerland",https://www.cc-finanz-treuhand.ch/,,,,,,,,,,,,,,,,,,
CD Treuhand und Revision,+41 44 432 49 10,,,,ChIJn4OQe24LkEcRqzZq_CNv9vY,@47.386247,8.4745744,"Meientalstrasse 75, 8048 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
"Central Treuhand, Alfred Ulrich",,,,,ChIJ5a3yiKegmkcRDLrS6ZupNnI,@47.3780633,8.5414874,"Weinbergstrasse 11, 8001 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
Clemenz + Guntern Treuhand AG,+41 44 454 11 11,,,,ChIJD5MvSh4KkEcRAArqJ-qvjro,@47.3695136,8.5178466,"Zurlindenstrasse 59, 8003 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
CMT Partners AG Treuhand und Revisionsgesellschaft,+41 58 944 44 00,,,,ChIJw_45Xk-nmkcRiiV58U0_zWE,@47.3560758,8.5514896,"Dufourstrasse 147, 8008 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
Commercial Treuhand- und Verwaltungs AG,+41 43 477 44 11,https://lh3.googleusercontent.com/p/AF1QipO-MiTWd6ftPOn4A67vvJKUzkVFfT9c84MDG9FW=s680-w680-h510,,,ChIJmSqOm1GnmkcRMGgVJB7mIAc,@47.3563123,8.5493945,"Bellerivestrasse 53, 8008 Zürich, Switzerland",http://www.commercial-treuhand.ch/,,,,,,,,,,,,,,,,,,
Confidas Treuhand AG,+41 43 311 72 80,,,,ChIJ6RtuMiAKkEcRFc9vnhpAFEc,@47.3707821,8.5138124,"Birmensdorferstrasse 198, 8003 Zürich, Switzerland",http://www.confidas.ch/,,,,,,,,,,,,,,,,,,
Confidermes Treuhand AG,+41 44 241 72 66,,,,ChIJvwpshBkKkEcR6pEE-0Flcyg,@47.3756938,8.5218331,"Kanzleistrasse 78, 8004 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
